1000, 3.578
1000, 0.0093
1000, 0.0084
1000, 0.0102
1000, 0.0084
2000, 0.02
2000, 0.0196
2000, 0.0196
2000, 0.0232
2000, 0.0263
3000, 0.0312
3000, 0.0298
3000, 0.0294
3000, 0.0298
3000, 0.0321
4000, 0.0432
4000, 0.0455
4000, 0.0406
4000, 0.0415
4000, 0.0423
5000, 0.0486
5000, 0.0522
5000, 0.0522
5000, 0.049
5000, 0.0486
6000, 0.0611
6000, 0.0544
6000, 0.0499
6000, 0.0499
6000, 0.0548
7000, 0.0566
7000, 0.0562
7000, 0.1155
7000, 0.0575
7000, 0.0763
8000, 0.0892
8000, 0.0995
8000, 0.0807
8000, 0.0905
8000, 0.0749
9000, 0.0745
9000, 0.0776
9000, 0.0731
9000, 0.0727
9000, 0.0705
10000, 0.0812
10000, 0.0821
10000, 0.087
10000, 0.083
10000, 0.0821
11000, 0.0932
11000, 0.0972
11000, 0.0888
11000, 0.0879
11000, 0.0932
12000, 0.1048
12000, 0.1039
12000, 0.103
12000, 0.1048
12000, 0.1102
13000, 0.1146
13000, 0.1352
13000, 0.1615
13000, 0.1499
13000, 0.116
14000, 0.1222
14000, 0.1187
14000, 0.1834
14000, 0.1187
14000, 0.1236
15000, 0.2628
15000, 0.128
15000, 0.1258
15000, 0.1303
15000, 0.1285
16000, 0.1423
16000, 0.1396
16000, 0.1427
16000, 0.132
16000, 0.1405
17000, 0.1419
17000, 0.1414
17000, 0.1405
17000, 0.1472
17000, 0.1432
18000, 0.1624
18000, 0.153
18000, 0.1477
18000, 0.1503
18000, 0.1267
19000, 0.178
19000, 0.1289
19000, 0.141
19000, 0.1298
19000, 0.2378
20000, 0.1387
20000, 0.1646
20000, 0.1954
20000, 0.166
20000, 0.1646
21000, 0.1503
21000, 0.1427
21000, 0.1445
21000, 0.145
21000, 0.1606
22000, 0.1624
22000, 0.1642
22000, 0.1936
22000, 0.2043
22000, 0.2124
23000, 0.1713
23000, 0.1843
23000, 0.1677
23000, 0.215
23000, 0.4359
24000, 0.1981
24000, 0.2017
24000, 0.166
24000, 0.1642
24000, 0.2025
25000, 0.1771
25000, 0.1726
25000, 0.2168
25000, 0.186
25000, 0.2141
26000, 0.2128
26000, 0.1807
26000, 0.1776
26000, 0.1762
26000, 0.1869
27000, 0.2222
27000, 0.2298
27000, 0.1896
27000, 0.4636
27000, 0.224
28000, 0.2302
28000, 0.2387
28000, 0.1985
28000, 0.2298
28000, 0.2231
29000, 0.1981
29000, 0.236
29000, 0.4752
29000, 0.2338
29000, 0.2374
30000, 0.2387
30000, 0.2521
30000, 0.2757
30000, 0.2106
30000, 0.2775
31000, 0.2748
31000, 0.3413
31000, 0.278
31000, 0.4301
31000, 0.2525
32000, 0.2226
32000, 0.2168
32000, 0.2195
32000, 0.2641
32000, 0.3913
33000, 0.2574
33000, 0.2673
33000, 0.2668
33000, 0.2664
33000, 0.2601
34000, 0.2748
34000, 0.298
34000, 0.2699
34000, 0.2766
34000, 0.2842
35000, 0.2815
35000, 0.2369
35000, 0.2824
35000, 0.2913
35000, 0.2976
36000, 0.2945
36000, 0.2936
36000, 0.2454
36000, 0.269
36000, 0.2449
37000, 0.3226
37000, 0.2954
37000, 0.3596
37000, 0.2963
37000, 0.2606
38000, 0.2597
38000, 0.2815
38000, 0.2771
38000, 0.5225
38000, 0.2851
39000, 0.3105
39000, 0.2882
39000, 0.303
39000, 0.2722
39000, 0.2673
40000, 0.2748
40000, 0.3382
40000, 0.2945
40000, 0.2757
40000, 0.2726
41000, 0.3431
41000, 0.2811
41000, 0.3043
41000, 0.2806
41000, 0.2789
42000, 0.2864
42000, 0.3047
42000, 0.3458
42000, 0.286
42000, 0.3021
43000, 0.3721
43000, 0.3708
43000, 0.3837
43000, 0.2936
43000, 0.2931
44000, 0.3275
44000, 0.2998
44000, 0.3052
44000, 0.3038
44000, 0.2967
45000, 0.3119
45000, 0.3364
45000, 0.3043
45000, 0.817
